prediction,test_price
56.73,56.91
55.56,55.36
54.16,56.9
52.81,55.0
53.37,55.81
52.53,55.57
52.51,55.77
52.73,56.75
53.35,58.34
53.69,56.95
55.61,58.36
55.21,59.35
55.74,58.23
56.19,63.9
55.72,63.22
57.4,63.53
58.29,66.42
58.6,68.55
60.74,68.96
61.58,71.54
62.41,71.63
64.47,74.17
65.59,70.51
67.22,72.44
67.31,69.5
68.16,66.73
67.44,66.6
64.98,68.4
64.94,68.9
65.07,69.99
65.25,68.59
65.61,67.01
64.91,62.17
63.58,61.83
61.23,61.78
60.19,63.7
59.3,64.49
59.36,63.79
59.83,63.34
60.04,63.77
59.96,62.02
60.39,64.54
60.14,64.77
60.24,64.05
60.15,62.72
60.77,60.64
59.51,59.49
59.26,61.75
57.78,61.33
57.61,59.44
56.91,58.03
55.97,59.63
54.98,60.17
55.52,69.91
55.53,69.63
60.12,68.4
61.8,75.91
63.36,74.07
67.08,70.49
68.29,71.1
67.5,71.28
67.69,69.53
67.85,67.74
67.26,67.09
66.27,61.1
66.39,61.69
62.98,64.38
61.25,64.33
61.16,64.02
60.52,64.56
60.5,63.85
60.54,62.37
60.08,61.0
59.28,60.63
58.39,60.33
58.07,57.79
57.69,56.15
56.78,56.19
56.14,52.65
54.75,57.1
52.4,55.89
53.17,58.11
52.65,57.89
53.11,59.04
53.7,58.97
53.79,56.99
53.63,59.8
53.47,59.67
54.4,59.82
54.86,59.94
55.59,60.2
56.16,61.92
57.23,61.5
57.91,52.95
58.55,62.14
56.06,60.2
57.79,58.96
57.41,56.37
56.66,52.39
55.32,50.11
52.91,52.56
50.51,51.38
50.29,50.45
49.16,51.76
48.28,51.92
48.94,55.32
48.89,54.36
50.91,52.78
52.21,52.0
52.15,52.19
52.0,58.83
51.17,57.7
53.39,62.97
55.19,66.18
57.01,66.97
59.83,65.98
61.47,67.46
60.23,68.86
61.74,69.28
62.98,68.28
63.05,68.21
63.88,69.63
64.49,70.28
65.5,70.1
66.51,66.26
67.64,67.75
65.29,68.8
64.57,69.69
64.74,70.86
64.54,70.69
65.3,69.5
66.14,67.64
65.5,65.17
64.04,69.2
62.49,68.78
63.99,69.57
63.58,68.23
64.01,70.1
64.36,71.7
65.11,71.94
66.27,72.61
67.22,71.59
68.07,73.03
68.28,73.35
69.22,73.32
69.66,75.36
68.92,73.14
69.91,69.68
69.67,67.41
66.53,66.59
65.04,63.08
63.35,63.95
61.31,59.08
60.5,65.22
57.92,63.23
59.03,66.77
59.34,66.56
60.97,62.02
62.51,60.07
60.82,63.54
59.43,66.99
59.73,67.07
61.9,67.71
62.43,68.99
62.37,69.45
63.95,66.88
63.77,68.89
63.04,69.21
64.36,69.46
63.9,60.45
64.03,59.78
61.26,57.52
58.6,58.3
56.53,59.41
56.15,59.28
56.09,59.49
56.69,61.75
56.58,61.4
57.8,62.44
57.51,62.58
56.9,64.27
58.35,63.44
58.81,61.5
59.46,61.16
59.38,62.57
59.22,62.36
58.82,61.63
58.82,60.75
58.2,61.58
58.73,61.13
57.81,60.51
57.87,58.25
57.92,58.94
57.06,59.75
57.02,59.57
57.26,62.95
56.47,63.98
57.89,58.96
58.89,57.07
56.87,55.31
54.79,55.25
52.36,55.32
52.3,56.83
51.32,58.18
51.91,56.67
53.44,57.79
53.69,57.99
53.81,55.09
54.58,53.9
53.17,53.49
51.91,54.72
50.79,54.8
50.69,52.91
50.0,52.08
50.35,53.55
50.18,54.97
50.63,55.72
51.55,55.97
52.41,57.84
53.46,57.18
54.41,58.36
55.52,53.56
55.86,54.99
53.9,54.64
53.22,54.46
53.25,55.21
52.29,53.68
53.13,53.54
52.39,53.28
51.55,54.67
50.85,54.25
51.61,54.65
52.01,52.55
52.91,52.78
50.67,51.73
50.85,49.53
50.16,47.03
49.93,48.29
47.23,47.74
46.58,46.8
45.44,48.82
45.12,51.01
45.42,51.07
46.73,49.41
47.78,48.97
48.01,48.4
46.45,47.9
45.57,45.4
45.38,46.46
44.92,46.39
44.09,45.67
44.25,42.21
42.96,41.07
41.76,41.02
40.13,38.55
41.01,39.1
38.92,38.13
39.32,37.74
38.38,37.97
38.34,37.64
38.3,37.03
38.28,35.79
38.14,38.72
37.11,39.32
36.66,41.19
37.65,40.9
38.64,42.58
40.09,43.42
40.81,41.85
40.96,42.78
40.6,42.98
41.75,45.01
41.5,44.95
41.84,45.29
42.55,43.92
43.52,44.37
43.43,44.73
43.05,43.95
43.86,43.85
43.74,44.57
43.44,44.69
42.37,45.43
43.56,44.91
43.09,46.98
44.02,46.62
44.28,46.07
44.91,46.01
45.56,47.78
45.59,47.72
46.88,49.02
48.37,50.7
48.45,50.48
49.32,50.97
49.2,50.71
50.47,51.64
50.62,51.14
50.74,52.03
50.91,52.98
51.7,45.76
51.16,45.61
48.38,47.15
46.96,48.45
46.55,48.32
46.74,46.77
46.84,46.87
46.44,45.66
45.76,46.15
45.14,46.68
44.53,47.66
44.67,47.0
45.21,45.8
45.11,47.0
44.77,43.92
45.09,43.13
44.19,43.99
43.66,45.37
43.27,45.17
44.73,44.17
45.38,44.43
45.24,42.28
45.74,43.0
43.82,42.82
43.38,43.12
42.3,44.34
42.76,45.12
44.28,45.0
44.55,44.14
45.11,45.92
45.75,45.49
46.47,46.36
45.8,47.11
46.34,49.42
46.47,49.17
47.18,49.04
47.06,48.56
47.52,48.96
47.43,48.7
47.4,49.32
47.06,48.12
46.79,48.25
46.1,44.64
46.84,45.74
45.72,48.51
46.23,48.43
47.42,48.17
48.58,48.94
48.7,48.63
49.28,46.61
49.85,46.29
49.06,47.54
47.94,48.01
47.34,48.91
47.78,48.95
47.45,49.58
47.29,51.39
47.32,51.58
48.51,51.95
49.71,52.39
49.82,51.39
50.28,50.7
50.45,51.12
50.29,50.94
50.05,59.94
50.21,65.63
54.61,65.54
58.89,63.24
61.45,63.0
62.25,62.98
63.36,62.66
62.75,63.49
62.26,63.44
62.48,65.32
62.54,67.11
63.04,67.43
64.29,69.02
64.81,69.99
66.36,69.22
66.9,69.87
66.79,70.43
67.35,70.0
68.21,71.9
68.75,70.44
69.8,70.97
69.77,66.61
69.76,67.27
67.89,65.78
66.64,66.26
66.03,65.99
64.84,66.97
64.04,67.24
64.35,66.61
64.83,66.07
64.56,67.18
64.2,67.91
65.53,69.77
65.06,70.54
65.96,71.94
66.82,71.68
69.09,76.3
69.75,75.8
70.57,78.63
71.47,80.81
73.62,81.12
75.15,83.84
75.87,85.05
77.49,86.19
78.64,86.08
79.66,82.94
80.8,83.67
79.78,86.05
80.29,88.6
81.32,90.31
82.62,93.81
83.97,98.43
86.33,96.27
89.87,95.63
90.92,104.97
90.9,107.58
95.02,103.7
98.17,102.7
98.31,102.1
97.39,109.44
96.81,113.91
99.44,114.44
102.86,112.96
104.56,111.6
104.96,113.38
104.05,116.2
104.85,128.16
106.6,130.11
112.22,156.0
115.84,177.41
128.51,146.94
144.14,149.79
141.32,149.61
140.46,154.26
138.79,154.88
139.41,153.46
140.98,160.8
140.93,160.01
143.7,171.68
144.79,183.48
149.31,179.88
156.97,180.2
159.07,166.76
160.12,159.98
155.29,155.76
149.78,135.8
145.78,133.6
135.85,148.72
129.05,149.1
130.86,149.9
132.89,144.91
133.98,140.7
131.25,121.6
127.95,129.07
118.63,126.85
114.93,112.11
112.13,109.32
105.5,89.01
101.51,86.04
90.56,72.24
82.7,85.53
